N,error_u,error_p
20,0.26638606632354694,1.6906278734715288
20,0.23773977016616446,1.1448331093025457
20,0.1682912948483281,0.8332354309006381
20,0.2402662124494531,1.11585406569224
20,0.27148112674508346,0.8470048931820444
40,0.14546142201227658,1.5402479207215702
40,0.2535507924255575,0.8566559607756409
40,0.12985215816659626,1.2939024157313783
40,0.23675771537907586,0.6287008987607012
40,0.13622686925539934,0.5441611182078394
60,0.11309567460079256,1.2233012700375763
60,0.22467280472553572,1.0146258043037524
60,0.2155400256297309,0.8693655351723637
60,0.2143107157553585,0.933335342766999
60,0.1481844555618657,0.6330282702231661
80,0.07743037635565389,0.608446935275226
80,0.23329072546466567,0.2555717659811119
80,0.11291425702959927,0.6668598093667474
80,0.1748269296979444,0.958392781721539
80,0.22276901791205775,0.5764020902562006
100,0.08424404768092167,0.8824441575058544
100,0.11501475036075186,1.1200734650874358
100,0.204027882273691,0.5072082902213011
100,0.07816889599967086,0.4397672048355429
100,0.2177071826700373,1.0443489396721533
120,0.049908320343602534,0.7474924352628747
120,0.2252439529855941,1.064107110987893
120,0.06581714900965231,0.9888021351064461
120,0.06614352074214695,0.8132724752079331
120,0.08782089362077478,0.8427788276780147
140,0.08985185797264074,0.9520965211101495
140,0.19951883769500856,0.7543461202965389
140,0.05481662719914526,1.1098426351343778
140,0.05020479202370566,0.5438069008287458
140,0.05160416824269281,0.21184481339689334
160,0.044576741595485275,0.5547356511755253
160,0.060186600206015996,0.8617934000517444
160,0.04858064694388164,0.8326542819615251
160,0.04838745121014974,1.0506631231640333
160,0.04398728803607221,0.6830192644778279
180,0.04757303744983937,0.5720953325280456
180,0.05181879652828131,0.9401665740526286
180,0.050373248395528626,0.9667261558666054
180,0.05451485728016356,0.2558869934511876
180,0.04528138958871775,0.8169805707649948
200,0.06983171226188949,0.3393572807878527
200,0.039743315882190426,0.6463904895825647
200,0.04277674264282166,0.7747757407470407
200,0.05454602315698615,0.9959428003197667
200,0.051026763441790746,1.0695793245245813
