N,error_u,error_p
20,0.29530477829444596,2.1688851166903795
20,0.25133295566445213,0.8949576080926159
20,0.2776039347344241,0.9082839497473065
20,0.25258331117583466,0.9226361423863065
20,0.2296009446502858,1.7417505593176072
40,0.23184850084545264,1.3284425250474141
40,0.23544705798102938,1.0685431971294805
40,0.19872798708690403,0.9287712665725855
40,0.27885751516310053,0.9041588077883002
40,0.19965241650387708,1.1124176225735365
60,0.15242018755047493,1.420952704056066
60,0.22564253609102977,1.2923792503958265
60,0.23473607357028142,1.5464512926978398
60,0.22605619671022945,1.4630254162310743
60,0.22315226864684307,0.7809553493345468
80,0.15582256645358886,0.8728337462339245
80,0.12182833066431906,0.8990015162664275
80,0.1477541375671651,0.9199497083626456
80,0.2234333155230313,1.1010310810574058
80,0.24073377029543158,1.069644338045231
100,0.10016054043667844,0.9109120139068735
100,0.11581869873972364,0.8986279929325401
100,0.22675978597208227,0.969884536437902
100,0.12225735750700961,1.2942579267950236
100,0.11314462058321377,0.9165127463130707
120,0.09293177653660811,0.807249832814908
120,0.10652265208847754,0.643152490191667
120,0.09425989384042067,1.2220378091264594
120,0.10129158724506743,0.8900831657540783
120,0.2107929569112663,0.8166420237544122
140,0.08212645472423812,1.2312946584907125
140,0.10572525270982532,0.9133176613003463
140,0.11333784577258152,0.6839313751627238
140,0.0983871849737229,1.052193518612701
140,0.10127928804810937,0.7314697368332335
160,0.06755526244080312,0.6848630929811371
160,0.10644359551319334,0.9391864018305172
160,0.08092835120850782,0.7272591287270086
160,0.09856963784185255,0.7965906728740323
160,0.10820915046519294,1.1648745257259796
180,0.07696468825927434,0.9342801613688152
180,0.06539462397162114,1.0576465101996508
180,0.06161137813447417,1.0609400141695962
180,0.0661122667426821,0.7514253532558689
180,0.056987104053609954,0.6992914969468171
200,0.047542784469634454,0.6709234768395475
200,0.0656047898101994,0.536980061012224
200,0.058883288573369455,1.0672075720838572
200,0.07913295351319309,0.5610462902629085
200,0.054862318745694964,0.5129678081093729
